qd1_fort_orange
Integration time [ms]:  500,00
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1412150E1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

 337,19;21156,000; 4519,000;    0,000
 337,48;21945,000; 4777,000;    0,000
 337,77;22542,000; 4996,000;    0,000
 338,07;22955,000; 5120,000;    0,000
 338,36;23939,000; 5286,000;    0,000
 338,66;24742,000; 5142,000;    0,000
 338,95;24896,000; 5652,000;    0,000
 339,24;25489,000; 5451,000;    0,000
 339,54;25843,000; 5497,000;    0,000
 339,83;27219,000; 5938,000;    0,000
 340,12;27512,000; 6176,000;    0,000
 340,42;28542,000; 5847,000;    0,000
 340,71;28574,000; 6095,000;    0,000
 341,00;29853,000; 6297,000;    0,000
 341,30;30149,000; 6500,000;    0,000
 341,59;31292,000; 6309,000;    0,000
 341,88;32278,000; 6505,000;    0,000
 342,18;31987,000; 6662,000;    0,000
 342,47;33676,000; 7136,000;    0,000
 342,76;34608,000; 7683,000;    0,000
 343,06;34645,000; 6938,000;    0,000
 343,35;35613,000; 7263,000;    0,000
 343,64;35767,000; 7272,000;    0,000
 343,94;36456,000; 7497,000;    0,000
 344,23;37191,000; 7195,000;    0,000
 344,52;38648,000; 8224,000;    0,000
 344,82;39720,000; 7697,000;    0,000
 345,11;39679,000; 7983,000;    0,000
 345,40;40745,000; 8548,000;    0,000
 345,70;41823,000; 8504,000;    0,000
 345,99;42001,000; 8171,000;    0,000
 346,28;42912,000; 8727,000;    0,000
 346,58;43991,000; 8549,000;    0,000
 346,87;44848,000; 8801,000;    0,000
 347,16;45611,000; 9409,000;    0,000
 347,45;46726,000; 9224,000;    0,000
 347,75;47559,000; 9093,000;    0,000
 348,04;48977,000;10353,000;    0,000
 348,33;49561,000;10122,000;    0,000
 348,63;50523,000;10359,000;    0,000
 348,92;51040,000; 9975,000;    0,000
 349,21;52705,000;10645,000;    0,000
 349,51;52764,000;10752,000;    0,000
 349,80;54058,000;10882,000;    0,000
 350,09;54903,000;10725,000;    0,000
 350,38;55968,000;11350,000;    0,000
 350,68;56536,000;11062,000;    0,000
 350,97;58430,000;12057,000;    0,000
 351,26;59460,000;12382,000;    0,000
 351,55;59901,000;11691,000;    0,000
 351,85;59965,000;11512,000;    0,000
 352,14;62288,000;12062,000;    0,000
 352,43;63112,000;12134,000;    0,000
 352,73;63428,000;12194,000;    0,000
 353,02;63753,000;12961,000;    0,000
 353,31;63900,000;12741,000;    0,000
 353,60;63753,000;13288,000;    0,000
 353,90;63900,000;13402,000;    0,000
 354,19;63753,000;13302,000;    0,000
 354,48;63900,000;13583,000;    0,000
 354,77;63753,000;13930,000;    0,000
 355,07;63900,000;14181,000;    0,000
 355,36;63753,000;14068,000;    0,000
 355,65;63900,000;15094,000;    0,000
 355,94;63753,000;14989,000;    0,000
 356,23;63900,000;15518,000;    0,000
 356,53;63753,000;16018,000;    0,000
 356,82;63900,000;16227,000;    0,000
 357,11;63753,000;16204,000;    0,000
 357,40;63900,000;15979,000;    0,000
 357,70;63753,000;16676,000;    0,000
 357,99;63900,000;17580,000;    0,000
 358,28;63753,000;17299,000;    0,000
 358,57;63900,000;18173,000;    0,000
 358,87;63753,000;17755,000;    0,000
 359,16;63900,000;18435,000;    0,000
 359,45;63753,000;18771,000;    0,000
 359,74;63900,000;19402,000;    0,000
 360,03;63753,000;20186,000;    0,000
 360,33;63900,000;19664,000;    0,000
 360,62;63753,000;19493,000;    0,000
 360,91;63900,000;20114,000;    0,000
 361,20;63753,000;20008,000;    0,000
 361,49;63900,000;20694,000;    0,000
 361,79;63753,000;20705,000;    0,000
 362,08;63900,000;21141,000;    0,000
 362,37;63753,000;21162,000;    0,000
 362,66;63900,000;20959,000;    0,000
 362,95;63753,000;21384,000;    0,000
 363,25;63900,000;21529,000;    0,000
 363,54;63753,000;21446,000;    0,000
 363,83;63900,000;21732,000;    0,000
 364,12;63753,000;21897,000;    0,000
 364,41;63900,000;21721,000;    0,000
 364,70;63753,000;22250,000;    0,000
 365,00;63900,000;22000,000;    0,000
 365,29;63753,000;22139,000;    0,000
 365,58;63900,000;22063,000;    0,000
 365,87;63753,000;21752,000;    0,000
 366,16;63900,000;21322,000;    0,000
 366,45;63753,000;21847,000;    0,000
 366,75;63900,000;21324,000;    0,000
 367,04;63753,000;21463,000;    0,000
 367,33;63900,000;21349,000;    0,000
 367,62;63753,000;21652,000;    0,000
 367,91;63900,000;21204,000;    0,000
 368,20;63753,000;20775,000;    0,000
 368,50;63900,000;21236,000;    0,000
 368,79;63753,000;20604,000;    0,000
 369,08;63900,000;20361,000;    0,000
 369,37;63753,000;20559,000;    0,000
 369,66;63900,000;20310,000;    0,000
 369,95;63753,000;20243,000;    0,000
 370,24;63900,000;20353,000;    0,000
 370,53;63753,000;19478,000;    0,000
 370,83;63900,000;19258,000;    0,000
 371,12;63753,000;18966,000;    0,000
 371,41;63900,000;18842,000;    0,000
 371,70;63753,000;18296,000;    0,000
 371,99;63900,000;18008,000;    0,000
 372,28;63753,000;17604,000;    0,000
 372,57;63900,000;17814,000;    0,000
 372,86;63753,000;16670,000;    0,000
 373,16;63900,000;16681,000;    0,000
 373,45;63753,000;16549,000;    0,000
 373,74;63900,000;15829,000;    0,000
 374,03;63753,000;16024,000;    0,000
 374,32;63900,000;16248,000;    0,000
 374,61;63753,000;15984,000;    0,000
 374,90;63900,000;15269,000;    0,000
 375,19;63753,000;14620,000;    0,000
 375,48;63900,000;14773,000;    0,000
 375,78;63753,000;14703,000;    0,000
 376,07;63900,000;14255,000;    0,000
 376,36;63753,000;14048,000;    0,000
 376,65;63900,000;14089,000;    0,000
 376,94;63753,000;13344,000;    0,000
 377,23;63900,000;13638,000;    0,000
 377,52;63753,000;13325,000;    0,000
 377,81;63900,000;12717,000;    0,000
 378,10;63753,000;13206,000;    0,000
 378,39;63900,000;13371,000;    0,000
 378,68;63753,000;12866,000;    0,000
 378,97;63900,000;12559,000;    0,000
 379,26;63753,000;11454,000;    0,000
 379,56;63900,000;11636,000;    0,000
 379,85;63753,000;12247,000;    0,000
 380,14;63900,000;11310,000;    0,000
 380,43;63753,000;11443,000;    0,000
 380,72;63900,000;12082,000;    0,000
 381,01;63753,000;11839,000;    0,000
 381,30;63900,000;11308,000;    0,000
 381,59;63753,000;11084,000;    0,000
 381,88;63900,000;10752,000;    0,000
 382,17;63671,000;10656,000;    0,000
 382,46;62227,000;11054,000;    0,000
 382,75;61336,000;10779,000;    0,000
 383,04;61124,000;10369,000;    0,000
 383,33;59686,000;10529,000;    0,000
 383,62;59373,000;10143,000;    0,000
 383,91;58465,000; 9842,000;    0,000
 384,20;57774,000;10664,000;    0,000
 384,49;57077,000;10016,000;    0,000
 384,78;56485,000; 9537,000;    0,000
 385,07;55266,000; 9869,000;    0,000
 385,36;53822,000; 9800,000;    0,000
 385,65;53578,000; 9627,000;    0,000
 385,94;52658,000; 9539,000;    0,000
 386,23;51752,000; 9454,000;    0,000
 386,52;51089,000; 8805,000;    0,000
 386,81;50194,000; 9847,000;    0,000
 387,10;50065,000; 9246,000;    0,000
 387,39;48296,000; 8569,000;    0,000
 387,68;47452,000; 8956,000;    0,000
 387,97;46296,000; 9054,000;    0,000
 388,26;46207,000; 8392,000;    0,000
 388,55;45056,000; 8528,000;    0,000
 388,84;44928,000; 8787,000;    0,000
 389,13;43891,000; 8379,000;    0,000
 389,42;43034,000; 8860,000;    0,000
 389,71;42039,000; 8775,000;    0,000
 390,00;41966,000; 8527,000;    0,000
 390,29;40969,000; 8773,000;    0,000
 390,58;39691,000; 8302,000;    0,000
 390,87;39110,000; 8653,000;    0,000
 391,16;38877,000; 8430,000;    0,000
 391,45;37736,000; 8257,000;    0,000
 391,74;37058,000; 8053,000;    0,000
 392,03;37313,000; 8568,000;    0,000
 392,32;35299,000; 7993,000;    0,000
 392,61;34786,000; 7782,000;    0,000
 392,90;33428,000; 7701,000;    0,000
 393,19;33356,000; 7850,000;    0,000
 393,48;31986,000; 7493,000;    0,000
 393,77;31775,000; 7194,000;    0,000
 394,06;31473,000; 7300,000;    0,000
 394,35;30671,000; 7192,000;    0,000
 394,64;30164,000; 7166,000;    0,000
 394,93;28732,000; 6812,000;    0,000
 395,22;28487,000; 7084,000;    0,000
 395,51;28558,000; 7275,000;    0,000
 395,80;27229,000; 6721,000;    0,000
 396,09;26735,000; 6734,000;    0,000
 396,38;25760,000; 6827,000;    0,000
 396,67;25383,000; 6625,000;    0,000
 396,95;24885,000; 7214,000;    0,000
 397,24;24300,000; 7052,000;    0,000
 397,53;24509,000; 8068,000;    0,000
 397,82;28433,000; 8647,000;    0,000
 398,11;33095,000; 9783,000;    0,000
 398,40;35494,000;10706,000;    0,000
 398,69;38596,000;11843,000;    0,000
 398,98;38408,000;12285,000;    0,000
 399,27;40540,000;12832,000;    0,000
 399,56;39173,000;12997,000;    0,000
 399,85;40015,000;13598,000;    0,000
 400,14;41019,000;14305,000;    0,000
 400,42;40086,000;14131,000;    0,000
 400,71;40421,000;13799,000;    0,000
 401,00;41170,000;14597,000;    0,000
 401,29;40787,000;14540,000;    0,000
 401,58;41017,000;14557,000;    0,000
 401,87;41210,000;15101,000;    0,000
 402,16;40930,000;14872,000;    0,000
 402,45;40654,000;14890,000;    0,000
 402,74;40169,000;15279,000;    0,000
 403,03;40064,000;14890,000;    0,000
 403,31;40259,000;15193,000;    0,000
 403,60;39284,000;14965,000;    0,000
 403,89;39151,000;14546,000;    0,000
 404,18;39046,000;14709,000;    0,000
 404,47;38304,000;14314,000;    0,000
 404,76;38701,000;14718,000;    0,000
 405,05;37508,000;14495,000;    0,000
 405,34;37641,000;13520,000;    0,000
 405,62;37313,000;14395,000;    0,000
 405,91;36697,000;14404,000;    0,000
 406,20;36504,000;14296,000;    0,000
 406,49;36487,000;14141,000;    0,000
 406,78;35894,000;13849,000;    0,000
 407,07;36168,000;13801,000;    0,000
 407,36;35888,000;13823,000;    0,000
 407,64;35769,000;13621,000;    0,000
 407,93;34629,000;13981,000;    0,000
 408,22;33756,000;13202,000;    0,000
 408,51;33228,000;13321,000;    0,000
 408,80;31793,000;12237,000;    0,000
 409,09;32280,000;12421,000;    0,000
 409,38;30714,000;11910,000;    0,000
 409,66;30490,000;12082,000;    0,000
 409,95;28731,000;11496,000;    0,000
 410,24;26680,000; 9873,000;    0,000
 410,53;24387,000; 8962,000;    0,000
 410,82;20295,000; 7956,000;    0,000
 411,11;15008,000; 7008,000;    0,000
 411,39;10397,000; 6189,000;    0,000
 411,68; 8621,000; 4926,000;    0,000
 411,97; 8041,000; 3552,000;    0,000
 412,26; 7837,000; 3121,000;    0,000
 412,55; 7656,000; 3057,000;    0,000
 412,83; 7600,000; 3416,000;    0,000
 413,12; 6954,000; 2552,000;    0,000
 413,41; 6848,000; 2621,000;    0,000
 413,70; 7182,000; 3321,000;    0,000
 413,99; 6067,000; 2190,000;    0,000
 414,27; 5606,000; 2051,000;    0,000
 414,56; 5292,000; 2295,000;    0,000
