qd2_maple_red_orange
Integration time [ms]:  500,00
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1412150E1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

 337,19;10963,000; 4519,000;    0,000
 337,48;11449,000; 4777,000;    0,000
 337,77;11525,000; 4996,000;    0,000
 338,07;11792,000; 5120,000;    0,000
 338,36;12243,000; 5286,000;    0,000
 338,66;12707,000; 5142,000;    0,000
 338,95;12787,000; 5652,000;    0,000
 339,24;12842,000; 5451,000;    0,000
 339,54;13144,000; 5497,000;    0,000
 339,83;14063,000; 5938,000;    0,000
 340,12;14106,000; 6176,000;    0,000
 340,42;15039,000; 5847,000;    0,000
 340,71;15173,000; 6095,000;    0,000
 341,00;15353,000; 6297,000;    0,000
 341,30;15586,000; 6500,000;    0,000
 341,59;16196,000; 6309,000;    0,000
 341,88;16136,000; 6505,000;    0,000
 342,18;16872,000; 6662,000;    0,000
 342,47;17381,000; 7136,000;    0,000
 342,76;18002,000; 7683,000;    0,000
 343,06;17436,000; 6938,000;    0,000
 343,35;18079,000; 7263,000;    0,000
 343,64;18582,000; 7272,000;    0,000
 343,94;18702,000; 7497,000;    0,000
 344,23;19487,000; 7195,000;    0,000
 344,52;20209,000; 8224,000;    0,000
 344,82;19754,000; 7697,000;    0,000
 345,11;20500,000; 7983,000;    0,000
 345,40;21171,000; 8548,000;    0,000
 345,70;21167,000; 8504,000;    0,000
 345,99;21471,000; 8171,000;    0,000
 346,28;22594,000; 8727,000;    0,000
 346,58;22616,000; 8549,000;    0,000
 346,87;23005,000; 8801,000;    0,000
 347,16;23802,000; 9409,000;    0,000
 347,45;24273,000; 9224,000;    0,000
 347,75;24589,000; 9093,000;    0,000
 348,04;25371,000;10353,000;    0,000
 348,33;25297,000;10122,000;    0,000
 348,63;26544,000;10359,000;    0,000
 348,92;26169,000; 9975,000;    0,000
 349,21;27688,000;10645,000;    0,000
 349,51;27908,000;10752,000;    0,000
 349,80;27608,000;10882,000;    0,000
 350,09;28488,000;10725,000;    0,000
 350,38;29332,000;11350,000;    0,000
 350,68;29080,000;11062,000;    0,000
 350,97;30861,000;12057,000;    0,000
 351,26;31336,000;12382,000;    0,000
 351,55;30973,000;11691,000;    0,000
 351,85;31646,000;11512,000;    0,000
 352,14;31983,000;12062,000;    0,000
 352,43;33495,000;12134,000;    0,000
 352,73;33527,000;12194,000;    0,000
 353,02;34415,000;12961,000;    0,000
 353,31;34900,000;12741,000;    0,000
 353,60;35896,000;13288,000;    0,000
 353,90;36207,000;13402,000;    0,000
 354,19;37792,000;13302,000;    0,000
 354,48;38391,000;13583,000;    0,000
 354,77;38424,000;13930,000;    0,000
 355,07;39251,000;14181,000;    0,000
 355,36;39470,000;14068,000;    0,000
 355,65;40319,000;15094,000;    0,000
 355,94;41160,000;14989,000;    0,000
 356,23;42335,000;15518,000;    0,000
 356,53;43272,000;16018,000;    0,000
 356,82;44614,000;16227,000;    0,000
 357,11;45680,000;16204,000;    0,000
 357,40;45739,000;15979,000;    0,000
 357,70;47032,000;16676,000;    0,000
 357,99;47671,000;17580,000;    0,000
 358,28;48859,000;17299,000;    0,000
 358,57;51397,000;18173,000;    0,000
 358,87;51846,000;17755,000;    0,000
 359,16;52839,000;18435,000;    0,000
 359,45;54556,000;18771,000;    0,000
 359,74;55485,000;19402,000;    0,000
 360,03;56275,000;20186,000;    0,000
 360,33;56598,000;19664,000;    0,000
 360,62;57648,000;19493,000;    0,000
 360,91;58557,000;20114,000;    0,000
 361,20;59391,000;20008,000;    0,000
 361,49;60573,000;20694,000;    0,000
 361,79;61477,000;20705,000;    0,000
 362,08;61813,000;21141,000;    0,000
 362,37;62195,000;21162,000;    0,000
 362,66;63123,000;20959,000;    0,000
 362,95;63778,000;21384,000;    0,000
 363,25;63888,000;21529,000;    0,000
 363,54;63778,000;21446,000;    0,000
 363,83;63888,000;21732,000;    0,000
 364,12;63778,000;21897,000;    0,000
 364,41;63888,000;21721,000;    0,000
 364,70;63778,000;22250,000;    0,000
 365,00;63888,000;22000,000;    0,000
 365,29;63778,000;22139,000;    0,000
 365,58;63888,000;22063,000;    0,000
 365,87;63778,000;21752,000;    0,000
 366,16;63888,000;21322,000;    0,000
 366,45;63778,000;21847,000;    0,000
 366,75;63888,000;21324,000;    0,000
 367,04;63778,000;21463,000;    0,000
 367,33;63888,000;21349,000;    0,000
 367,62;63778,000;21652,000;    0,000
 367,91;63888,000;21204,000;    0,000
 368,20;63778,000;20775,000;    0,000
 368,50;63888,000;21236,000;    0,000
 368,79;63778,000;20604,000;    0,000
 369,08;63888,000;20361,000;    0,000
 369,37;63778,000;20559,000;    0,000
 369,66;63888,000;20310,000;    0,000
 369,95;63778,000;20243,000;    0,000
 370,24;63888,000;20353,000;    0,000
 370,53;63778,000;19478,000;    0,000
 370,83;63888,000;19258,000;    0,000
 371,12;63778,000;18966,000;    0,000
 371,41;63888,000;18842,000;    0,000
 371,70;63778,000;18296,000;    0,000
 371,99;63888,000;18008,000;    0,000
 372,28;63778,000;17604,000;    0,000
 372,57;63888,000;17814,000;    0,000
 372,86;63778,000;16670,000;    0,000
 373,16;63888,000;16681,000;    0,000
 373,45;63778,000;16549,000;    0,000
 373,74;63888,000;15829,000;    0,000
 374,03;63778,000;16024,000;    0,000
 374,32;63888,000;16248,000;    0,000
 374,61;63778,000;15984,000;    0,000
 374,90;63888,000;15269,000;    0,000
 375,19;63778,000;14620,000;    0,000
 375,48;63138,000;14773,000;    0,000
 375,78;62734,000;14703,000;    0,000
 376,07;62117,000;14255,000;    0,000
 376,36;62108,000;14048,000;    0,000
 376,65;60784,000;14089,000;    0,000
 376,94;61007,000;13344,000;    0,000
 377,23;60434,000;13638,000;    0,000
 377,52;59113,000;13325,000;    0,000
 377,81;58795,000;12717,000;    0,000
 378,10;58332,000;13206,000;    0,000
 378,39;57627,000;13371,000;    0,000
 378,68;56009,000;12866,000;    0,000
 378,97;56332,000;12559,000;    0,000
 379,26;54866,000;11454,000;    0,000
 379,56;53795,000;11636,000;    0,000
 379,85;55082,000;12247,000;    0,000
 380,14;53078,000;11310,000;    0,000
 380,43;52834,000;11443,000;    0,000
 380,72;52966,000;12082,000;    0,000
 381,01;51706,000;11839,000;    0,000
 381,30;50448,000;11308,000;    0,000
 381,59;50053,000;11084,000;    0,000
 381,88;48668,000;10752,000;    0,000
 382,17;49449,000;10656,000;    0,000
 382,46;48422,000;11054,000;    0,000
 382,75;46930,000;10779,000;    0,000
 383,04;47176,000;10369,000;    0,000
 383,33;46054,000;10529,000;    0,000
 383,62;45812,000;10143,000;    0,000
 383,91;43489,000; 9842,000;    0,000
 384,20;44446,000;10664,000;    0,000
 384,49;43246,000;10016,000;    0,000
 384,78;42872,000; 9537,000;    0,000
 385,07;41346,000; 9869,000;    0,000
 385,36;41222,000; 9800,000;    0,000
 385,65;40761,000; 9627,000;    0,000
 385,94;39780,000; 9539,000;    0,000
 386,23;39542,000; 9454,000;    0,000
 386,52;38390,000; 8805,000;    0,000
 386,81;38653,000; 9847,000;    0,000
 387,10;37354,000; 9246,000;    0,000
 387,39;36868,000; 8569,000;    0,000
 387,68;35408,000; 8956,000;    0,000
 387,97;34915,000; 9054,000;    0,000
 388,26;34716,000; 8392,000;    0,000
 388,55;33857,000; 8528,000;    0,000
 388,84;33781,000; 8787,000;    0,000
 389,13;32482,000; 8379,000;    0,000
 389,42;32515,000; 8860,000;    0,000
 389,71;31684,000; 8775,000;    0,000
 390,00;31260,000; 8527,000;    0,000
 390,29;30785,000; 8773,000;    0,000
 390,58;30250,000; 8302,000;    0,000
 390,87;29530,000; 8653,000;    0,000
 391,16;28711,000; 8430,000;    0,000
 391,45;27816,000; 8257,000;    0,000
 391,74;27786,000; 8053,000;    0,000
 392,03;27817,000; 8568,000;    0,000
 392,32;26588,000; 7993,000;    0,000
 392,61;26272,000; 7782,000;    0,000
 392,90;25269,000; 7701,000;    0,000
 393,19;25145,000; 7850,000;    0,000
 393,48;24434,000; 7493,000;    0,000
 393,77;23534,000; 7194,000;    0,000
 394,06;23259,000; 7300,000;    0,000
 394,35;22089,000; 7192,000;    0,000
 394,64;21446,000; 7166,000;    0,000
 394,93;21529,000; 6812,000;    0,000
 395,22;21440,000; 7084,000;    0,000
 395,51;21114,000; 7275,000;    0,000
 395,80;20448,000; 6721,000;    0,000
 396,09;19557,000; 6734,000;    0,000
 396,38;19724,000; 6827,000;    0,000
 396,67;18718,000; 6625,000;    0,000
 396,95;18440,000; 7214,000;    0,000
 397,24;18334,000; 7052,000;    0,000
 397,53;18684,000; 8068,000;    0,000
 397,82;20790,000; 8647,000;    0,000
 398,11;23570,000; 9783,000;    0,000
 398,40;25546,000;10706,000;    0,000
 398,69;28518,000;11843,000;    0,000
 398,98;28842,000;12285,000;    0,000
 399,27;29862,000;12832,000;    0,000
 399,56;30017,000;12997,000;    0,000
 399,85;29868,000;13598,000;    0,000
 400,14;30403,000;14305,000;    0,000
 400,42;29876,000;14131,000;    0,000
 400,71;29479,000;13799,000;    0,000
 401,00;30518,000;14597,000;    0,000
 401,29;31694,000;14540,000;    0,000
 401,58;31131,000;14557,000;    0,000
 401,87;31608,000;15101,000;    0,000
 402,16;31171,000;14872,000;    0,000
 402,45;30441,000;14890,000;    0,000
 402,74;30892,000;15279,000;    0,000
 403,03;30734,000;14890,000;    0,000
 403,31;30227,000;15193,000;    0,000
 403,60;30010,000;14965,000;    0,000
 403,89;29180,000;14546,000;    0,000
 404,18;28802,000;14709,000;    0,000
 404,47;28646,000;14314,000;    0,000
