qd6_libre_amarillo_chillon
Integration time [ms]:  500,00
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1412150E1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

 337,19; 4326,000; 4519,000;    0,000
 337,48; 4852,000; 4777,000;    0,000
 337,77; 4595,000; 4996,000;    0,000
 338,07; 4664,000; 5120,000;    0,000
 338,36; 4593,000; 5286,000;    0,000
 338,66; 5013,000; 5142,000;    0,000
 338,95; 5576,000; 5652,000;    0,000
 339,24; 5339,000; 5451,000;    0,000
 339,54; 5104,000; 5497,000;    0,000
 339,83; 5888,000; 5938,000;    0,000
 340,12; 5554,000; 6176,000;    0,000
 340,42; 5930,000; 5847,000;    0,000
 340,71; 5885,000; 6095,000;    0,000
 341,00; 6226,000; 6297,000;    0,000
 341,30; 6066,000; 6500,000;    0,000
 341,59; 6187,000; 6309,000;    0,000
 341,88; 6707,000; 6505,000;    0,000
 342,18; 6482,000; 6662,000;    0,000
 342,47; 6931,000; 7136,000;    0,000
 342,76; 7465,000; 7683,000;    0,000
 343,06; 6407,000; 6938,000;    0,000
 343,35; 7073,000; 7263,000;    0,000
 343,64; 6743,000; 7272,000;    0,000
 343,94; 7267,000; 7497,000;    0,000
 344,23; 7134,000; 7195,000;    0,000
 344,52; 8037,000; 8224,000;    0,000
 344,82; 7690,000; 7697,000;    0,000
 345,11; 7749,000; 7983,000;    0,000
 345,40; 8047,000; 8548,000;    0,000
 345,70; 8185,000; 8504,000;    0,000
 345,99; 7986,000; 8171,000;    0,000
 346,28; 8459,000; 8727,000;    0,000
 346,58; 8254,000; 8549,000;    0,000
 346,87; 8809,000; 8801,000;    0,000
 347,16; 8938,000; 9409,000;    0,000
 347,45; 8771,000; 9224,000;    0,000
 347,75; 8599,000; 9093,000;    0,000
 348,04; 9913,000;10353,000;    0,000
 348,33; 9306,000;10122,000;    0,000
 348,63;10167,000;10359,000;    0,000
 348,92; 9819,000; 9975,000;    0,000
 349,21;10401,000;10645,000;    0,000
 349,51; 9982,000;10752,000;    0,000
 349,80;10165,000;10882,000;    0,000
 350,09; 9973,000;10725,000;    0,000
 350,38;10823,000;11350,000;    0,000
 350,68;10680,000;11062,000;    0,000
 350,97;11161,000;12057,000;    0,000
 351,26;11770,000;12382,000;    0,000
 351,55;10872,000;11691,000;    0,000
 351,85;11185,000;11512,000;    0,000
 352,14;11172,000;12062,000;    0,000
 352,43;11644,000;12134,000;    0,000
 352,73;11823,000;12194,000;    0,000
 353,02;12168,000;12961,000;    0,000
 353,31;12060,000;12741,000;    0,000
 353,60;12518,000;13288,000;    0,000
 353,90;12790,000;13402,000;    0,000
 354,19;12777,000;13302,000;    0,000
 354,48;13068,000;13583,000;    0,000
 354,77;13130,000;13930,000;    0,000
 355,07;13303,000;14181,000;    0,000
 355,36;13565,000;14068,000;    0,000
 355,65;13508,000;15094,000;    0,000
 355,94;13550,000;14989,000;    0,000
 356,23;14233,000;15518,000;    0,000
 356,53;14223,000;16018,000;    0,000
 356,82;14966,000;16227,000;    0,000
 357,11;14454,000;16204,000;    0,000
 357,40;15163,000;15979,000;    0,000
 357,70;15158,000;16676,000;    0,000
 357,99;15871,000;17580,000;    0,000
 358,28;15295,000;17299,000;    0,000
 358,57;16629,000;18173,000;    0,000
 358,87;16191,000;17755,000;    0,000
 359,16;16429,000;18435,000;    0,000
 359,45;16663,000;18771,000;    0,000
 359,74;17527,000;19402,000;    0,000
 360,03;18058,000;20186,000;    0,000
 360,33;17309,000;19664,000;    0,000
 360,62;17698,000;19493,000;    0,000
 360,91;17805,000;20114,000;    0,000
 361,20;17563,000;20008,000;    0,000
 361,49;18881,000;20694,000;    0,000
 361,79;18686,000;20705,000;    0,000
 362,08;18945,000;21141,000;    0,000
 362,37;19514,000;21162,000;    0,000
 362,66;19299,000;20959,000;    0,000
 362,95;19380,000;21384,000;    0,000
 363,25;18791,000;21529,000;    0,000
 363,54;19124,000;21446,000;    0,000
 363,83;19095,000;21732,000;    0,000
 364,12;19235,000;21897,000;    0,000
 364,41;19254,000;21721,000;    0,000
 364,70;19651,000;22250,000;    0,000
 365,00;19012,000;22000,000;    0,000
 365,29;18687,000;22139,000;    0,000
 365,58;19525,000;22063,000;    0,000
 365,87;19521,000;21752,000;    0,000
 366,16;18863,000;21322,000;    0,000
 366,45;19244,000;21847,000;    0,000
 366,75;19297,000;21324,000;    0,000
 367,04;18934,000;21463,000;    0,000
 367,33;19040,000;21349,000;    0,000
 367,62;18597,000;21652,000;    0,000
 367,91;18484,000;21204,000;    0,000
 368,20;17656,000;20775,000;    0,000
 368,50;18321,000;21236,000;    0,000
 368,79;17612,000;20604,000;    0,000
 369,08;17906,000;20361,000;    0,000
 369,37;18202,000;20559,000;    0,000
 369,66;17738,000;20310,000;    0,000
 369,95;17332,000;20243,000;    0,000
 370,24;16812,000;20353,000;    0,000
 370,53;16435,000;19478,000;    0,000
 370,83;16453,000;19258,000;    0,000
 371,12;16107,000;18966,000;    0,000
 371,41;15792,000;18842,000;    0,000
 371,70;15402,000;18296,000;    0,000
 371,99;15205,000;18008,000;    0,000
 372,28;14610,000;17604,000;    0,000
 372,57;14043,000;17814,000;    0,000
 372,86;13838,000;16670,000;    0,000
 373,16;13475,000;16681,000;    0,000
 373,45;13614,000;16549,000;    0,000
 373,74;12435,000;15829,000;    0,000
 374,03;13363,000;16024,000;    0,000
 374,32;13109,000;16248,000;    0,000
 374,61;12367,000;15984,000;    0,000
 374,90;12175,000;15269,000;    0,000
 375,19;11911,000;14620,000;    0,000
 375,48;11381,000;14773,000;    0,000
 375,78;11364,000;14703,000;    0,000
 376,07;10693,000;14255,000;    0,000
 376,36;10677,000;14048,000;    0,000
 376,65;10589,000;14089,000;    0,000
 376,94;10006,000;13344,000;    0,000
 377,23; 9862,000;13638,000;    0,000
 377,52; 9900,000;13325,000;    0,000
 377,81; 9552,000;12717,000;    0,000
 378,10; 9436,000;13206,000;    0,000
 378,39; 9925,000;13371,000;    0,000
 378,68; 9221,000;12866,000;    0,000
 378,97; 9306,000;12559,000;    0,000
 379,26; 8496,000;11454,000;    0,000
 379,56; 8470,000;11636,000;    0,000
 379,85; 8654,000;12247,000;    0,000
 380,14; 7890,000;11310,000;    0,000
 380,43; 8131,000;11443,000;    0,000
 380,72; 8152,000;12082,000;    0,000
 381,01; 7947,000;11839,000;    0,000
 381,30; 7495,000;11308,000;    0,000
 381,59; 7449,000;11084,000;    0,000
 381,88; 7209,000;10752,000;    0,000
 382,17; 7208,000;10656,000;    0,000
 382,46; 7133,000;11054,000;    0,000
 382,75; 7011,000;10779,000;    0,000
 383,04; 6490,000;10369,000;    0,000
 383,33; 6460,000;10529,000;    0,000
 383,62; 6676,000;10143,000;    0,000
 383,91; 6034,000; 9842,000;    0,000
 384,20; 6777,000;10664,000;    0,000
 384,49; 6025,000;10016,000;    0,000
 384,78; 5958,000; 9537,000;    0,000
 385,07; 5874,000; 9869,000;    0,000
 385,36; 5993,000; 9800,000;    0,000
 385,65; 5514,000; 9627,000;    0,000
 385,94; 5252,000; 9539,000;    0,000
 386,23; 5483,000; 9454,000;    0,000
 386,52; 5369,000; 8805,000;    0,000
 386,81; 5806,000; 9847,000;    0,000
 387,10; 4945,000; 9246,000;    0,000
 387,39; 4622,000; 8569,000;    0,000
 387,68; 4815,000; 8956,000;    0,000
 387,97; 4810,000; 9054,000;    0,000
 388,26; 4653,000; 8392,000;    0,000
 388,55; 4188,000; 8528,000;    0,000
 388,84; 4287,000; 8787,000;    0,000
 389,13; 4505,000; 8379,000;    0,000
 389,42; 4373,000; 8860,000;    0,000
 389,71; 4246,000; 8775,000;    0,000
 390,00; 4188,000; 8527,000;    0,000
 390,29; 4195,000; 8773,000;    0,000
 390,58; 4310,000; 8302,000;    0,000
 390,87; 3926,000; 8653,000;    0,000
 391,16; 4191,000; 8430,000;    0,000
 391,45; 3512,000; 8257,000;    0,000
 391,74; 3771,000; 8053,000;    0,000
 392,03; 4367,000; 8568,000;    0,000
 392,32; 3601,000; 7993,000;    0,000
 392,61; 3501,000; 7782,000;    0,000
 392,90; 3280,000; 7701,000;    0,000
 393,19; 3461,000; 7850,000;    0,000
 393,48; 2981,000; 7493,000;    0,000
 393,77; 2884,000; 7194,000;    0,000
 394,06; 3206,000; 7300,000;    0,000
 394,35; 2976,000; 7192,000;    0,000
 394,64; 2944,000; 7166,000;    0,000
 394,93; 2496,000; 6812,000;    0,000
 395,22; 2642,000; 7084,000;    0,000
 395,51; 3151,000; 7275,000;    0,000
 395,80; 2874,000; 6721,000;    0,000
 396,09; 2326,000; 6734,000;    0,000
 396,38; 2566,000; 6827,000;    0,000
 396,67; 2269,000; 6625,000;    0,000
 396,95; 2663,000; 7214,000;    0,000
 397,24; 2173,000; 7052,000;    0,000
 397,53; 2619,000; 8068,000;    0,000
 397,82; 2617,000; 8647,000;    0,000
 398,11; 2838,000; 9783,000;    0,000
 398,40; 2811,000;10706,000;    0,000
 398,69; 3458,000;11843,000;    0,000
 398,98; 3285,000;12285,000;    0,000
 399,27; 3900,000;12832,000;    0,000
 399,56; 3731,000;12997,000;    0,000
 399,85; 4251,000;13598,000;    0,000
 400,14; 4603,000;14305,000;    0,000
 400,42; 4204,000;14131,000;    0,000
 400,71; 3942,000;13799,000;    0,000
 401,00; 4331,000;14597,000;    0,000
 401,29; 4425,000;14540,000;    0,000
 401,58; 4345,000;14557,000;    0,000
 401,87; 4744,000;15101,000;    0,000
 402,16; 3989,000;14872,000;    0,000
 402,45; 4379,000;14890,000;    0,000
 402,74; 4730,000;15279,000;    0,000
 403,03; 4240,000;14890,000;    0,000
 403,31; 4706,000;15193,000;    0,000
 403,60; 4436,000;14965,000;    0,000
 403,89; 4097,000;14546,000;    0,000
 404,18; 4477,000;14709,000;    0,000
 404,47; 3952,000;14314,000;    0,000
 404,76; 4131,000;14718,000;    0,000
 405,05; 4508,000;14495,000;    0,000
 405,34; 3484,000;13520,000;    0,000
 405,62; 3580,000;14395,000;    0,000
 405,91; 4190,000;14404,000;    0,000
 406,20; 3793,000;14296,000;    0,000
 406,49; 3908,000;14141,000;    0,000
 406,78; 3768,000;13849,000;    0,000
 407,07; 3798,000;13801,000;    0,000
 407,36; 4067,000;13823,000;    0,000
 407,64; 4138,000;13621,000;    0,000
 407,93; 4040,000;13981,000;    0,000
 408,22; 3500,000;13202,000;    0,000
 408,51; 3923,000;13321,000;    0,000
 408,80; 3465,000;12237,000;    0,000
 409,09; 3621,000;12421,000;    0,000
 409,38; 3254,000;11910,000;    0,000
 409,66; 4046,000;12082,000;    0,000
 409,95; 4029,000;11496,000;    0,000
 410,24; 3082,000; 9873,000;    0,000
 410,53; 3024,000; 8962,000;    0,000
 410,82; 2919,000; 7956,000;    0,000
 411,11; 3197,000; 7008,000;    0,000
 411,39; 3046,000; 6189,000;    0,000
 411,68; 1791,000; 4926,000;    0,000
 411,97; 1448,000; 3552,000;    0,000
 412,26; 1057,000; 3121,000;    0,000
 412,55; 1174,000; 3057,000;    0,000
 412,83; 1627,000; 3416,000;    0,000
 413,12;  949,000; 2552,000;    0,000
 413,41;  852,000; 2621,000;    0,000
 413,70; 1588,000; 3321,000;    0,000
 413,99;  829,000; 2190,000;    0,000
 414,27; 1029,000; 2051,000;    0,000
 414,56; 1032,000; 2295,000;    0,000
 414,85; 1266,000; 2483,000;    0,000
 415,14; 1006,000; 2062,000;    0,000
 415,43;  894,000; 1646,000;    0,000
 415,71;  610,000; 1325,000;    0,000
 416,00;  764,000; 1612,000;    0,000
 416,29;  915,000; 1599,000;    0,000
 416,58; 1051,000; 1686,000;    0,000
 416,87;  989,000; 1708,000;    0,000
 417,15;  693,000; 1217,000;    0,000
 417,44;  896,000; 1707,000;    0,000
 417,73; 1377,000; 1774,000;    0,000
 418,02; 1367,000; 1850,000;    0,000
 418,30;  930,000; 1393,000;    0,000
 418,59; 1064,000; 1702,000;    0,000
 418,88; 1162,000; 1614,000;    0,000
 419,17;  884,000; 1292,000;    0,000
 419,45;  963,000; 1342,000;    0,000
 419,74;  965,000; 1466,000;    0,000
 420,03;  620,000;  888,000;    0,000
 420,32;  979,000; 1298,000;    0,000
 420,60; 1146,000; 1633,000;    0,000
 420,89; 1071,000; 1336,000;    0,000
 421,18; 1220,000; 1224,000;    0,000
 421,47;  668,000;  915,000;    0,000
 421,75;  509,000;  798,000;    0,000
 422,04;  759,000;  988,000;    0,000
 422,33;  829,000;  919,000;    0,000
 422,62; 1130,000; 1261,000;    0,000
 422,90;  702,000;  868,000;    0,000
 423,19;  850,000;  868,000;    0,000
 423,48;  805,000;  953,000;    0,000
 423,77;  880,000;  989,000;    0,000
 424,05;  647,000;  771,000;    0,000
 424,34;  737,000;  777,000;    0,000
 424,63; 1177,000; 1289,000;    0,000
 424,91; 1050,000; 1252,000;    0,000
 425,20;  950,000;  825,000;    0,000
 425,49; 1185,000; 1191,000;    0,000
 425,78; 1088,000; 1265,000;    0,000
 426,06;  980,000;  972,000;    0,000
 426,35; 1691,000; 1885,000;    0,000
 426,64; 1223,000; 1272,000;    0,000
 426,92; 1432,000; 1358,000;    0,000
 427,21;  760,000;  772,000;    0,000
 427,50;  824,000;  471,000;    0,000
 427,78;  553,000;  580,000;    0,000
 428,07; 9853,000;10971,000;    0,000
 428,36;  568,000;  696,000;    0,000
 428,65; 1646,000; 1755,000;    0,000
 428,93; 1024,000; 1399,000;    0,000
 429,22; 1530,000; 2217,000;    0,000
 429,51; 1032,000; 2177,000;    0,000
 429,79;  968,000; 2359,000;    0,000
 430,08; 1521,000; 2793,000;    0,000
 430,37; 1314,000; 3226,000;    0,000
 430,65; 1247,000; 3038,000;    0,000
 430,94; 1554,000; 3643,000;    0,000
 431,23; 1358,000; 3501,000;    0,000
 431,51; 1508,000; 3635,000;    0,000
 431,80; 2079,000; 3812,000;    0,000
 432,09; 1889,000; 3784,000;    0,000
 432,37; 1593,000; 4191,000;    0,000
 432,66; 1785,000; 4093,000;    0,000
 432,95; 1572,000; 3871,000;    0,000
 433,23; 2151,000; 4511,000;    0,000
 433,52; 1668,000; 4259,000;    0,000
 433,81; 1712,000; 4230,000;    0,000
 434,09; 1878,000; 4322,000;    0,000
 434,38; 1422,000; 4106,000;    0,000
 434,66; 2059,000; 4497,000;    0,000
 434,95; 2008,000; 4346,000;    0,000
 435,24; 1978,000; 4354,000;    0,000
 435,52; 1713,000; 4004,000;    0,000
 435,81; 1521,000; 3892,000;    0,000
 436,10; 1879,000; 4531,000;    0,000
 436,38; 1980,000; 4278,000;    0,000
 436,67; 1825,000; 4196,000;    0,000
 436,95; 2164,000; 4319,000;    0,000
 437,24; 1940,000; 4133,000;    0,000
 437,53; 1523,000; 3687,000;    0,000
 437,81; 2292,000; 4544,000;    0,000
 438,10; 1994,000; 4729,000;    0,000
 438,39; 1800,000; 3826,000;    0,000
 438,67; 1554,000; 3878,000;    0,000
 438,96; 2181,000; 4744,000;    0,000
 439,24; 1926,000; 4235,000;    0,000
